source_row_index,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,UV1,UV2,UV3,Q1,Q2,SC0,speaker,question_column,question_id,survey_order,response_numeric,response_letter,solution_letter,is_correct
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item4,ns2_item4,12,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item5,ns3_item5,13,1,A,A,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item6,ns1_item6,14,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item1,ns2_item1,15,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item2,ns1_item2,16,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item6,ns3_item6,17,2,B,B,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item4,ns1_item4,18,1,A,B,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item3,ns3_item3,19,1,A,B,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item7,ns1_item7,20,1,A,B,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns2_item0,ns2_item0,21,1,A,B,0
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item0,ns1_item0,22,3,C,C,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns1_item3,ns1_item3,23,1,A,A,1
7,4/20/26 1:08,4/20/26 1:15,0,87.116.0.70,100,436,1,4/20/26 1:15,R_8rM2d5eEEPzcEnh,,,,,55.674,12.5696,anonymous,EN,1,1,1,1,2,16,speaker1,speaker1_ns3_item4,ns3_item4,24,3,C,C,1
8,4/20/26 1:08,4/20/26 1:22,0,80.62.117.122,100,846,1,4/20/26 1:22,R_8kMT1WvTIZn3MZv,,,,,55.7123,12.0564,anonymous,EN,1,1,1,2,2,21,speaker2,speaker2_ns2_item7,ns2_item7,1,1,A,B,0
8,4/20/26 1:08,4/20/26 1:22,0,80.62.117.122,100,846,1,4/20/26 1:22,R_8kMT1WvTIZn3MZv,,,,,55.7123,12.0564,anonymous,EN,1,1,1,2,2,21,speaker2,speaker2_ns1_item5,ns1_item5,2,1,A,A,1
8,4/20/26 1:08,4/20/26 1:22,0,80.62.117.122,100,846,1,4/20/26 1:22,R_8kMT1WvTIZn3MZv,,,,,55.7123,12.0564,anonymous,EN,1,1,1,2,2,21,speaker2,speaker2_ns3_item2,ns3_item2,3,1,A,A,1
